CPB;TITULO_ORIGINAL;DIRETOR;PAIS_DIRETOR
B0300040000000;NÃO ME CONDENES ANTES QUE ME EXPLIQUE;MARIA CRISTINA NOGUEIRA DA SILVA LEAL;BRASIL
B0300040100000;GAROTAS DO ABC- AURELIA SCHWARZENEGA;CARLOS OSCAR REICHENBACH FILHO;BRASIL
B0300040300000;DE PASSAGEM;RICARDO ELIAS;BRASIL
B0300040400000;ONDE ANDA VOCÊ;SERGIO PEREZ DE REZENDE;BRASIL
B0300040600000;HOMEM DOS PAPAGAIOS, O;ARMANDO COUTO;Não Informado
B0300040700000;BRUMA SECA;MÁRIO BRASINI;BRASIL
B0300040700000;BRUMA SECA;MÁRIO CIVELLI;BRASIL
B0300040800000;MODELO 19;ARMANDO COUTO;Não Informado
B0300040900000;VESTIDO, O;PAULO THIAGO FERREIRA PAES DE OLIVEIRA;BRASIL
B0300041100000;A DIFÍCIL VIAGEM;GERALDO DA ROCHA MORAES;BRASIL
B0300041200000;CÍRCULO DE FOGO, O;GERALDO DA ROCHA MORAES;BRASIL
B0300041300000;HARMADA;MAURICE CARLOS CAPOVILLA;BRASIL
B0300041500000;TAÇA DO MUNDO É NOSSA - CASSETA E PLANETA O FILME, A;LUIZ BUARQUE DE HOLLANDA FILHO;BRASIL
B0300041600000;ONDE ANDARÁ PETRUCIO FELKER?;ALLAN SIEBER;BRASIL
B0300041800000;PRA MUDAR A MINHA VIDA;MAURO RIBEIRO DE LIMA;BRASIL
B0300041900000;SINAIS DE FOGO;MONIQUE GARDENBERG;Não Informado
B0300042000000;PARIS OU RUBIS;ANA LUZ;Não Informado
B0300042100000;PERFEIÇÃO;RAFAEL FERRETTI;Não Informado
B0300042200000;DESCOMPASSADO CORAÇÃO;CACÁ NAZÁRIO E AIRTON TOMAZZONI;Não Informado
B0300042300000;AMASSA QUE ELAS GOSTAM;FERNANDO COSTER;BRASIL
B0300042400000;PHIL;CRISTIANO TREIN, DRÉGUS DE OLIVEIRA E CARLOS FERREIRA;Não Informado
B0300042500000;MIS;TARCISIO LARA PUIATI;BRASIL
B0300042600000;AMIZADE;KITTA TONETTO;Não Informado
B0300042700000;HOMEM DA LUA, O;GISELLE PORTO JACQUES;BRASIL
B0300042900000;POIS É VIZINHA;LÉO SASSEN;Não Informado
B0300043000000;AMAR;LISIANE COHEN;Não Informado
B0300043100000;DIA EM QUE JESUS FALOU PORTUGUÊS, O;ARISTIDES CARVALHO E GINA O'DONNELL;Não Informado
B0300043200000;LUGAR DA COISAS, O;RAFAEL FIGUEIREDO;Não Informado
B0300043300000;ORANGOTANGOS;MURIEL PARABONI E OTÁVIO FELDENS;Não Informado
B0300043500000;CASO NO AR, O;IVANA CLAUDIA SILVA VERLE;BRASIL
B0300043600000;TEORIA DO CAOS;GISELLE JACQUES;Não Informado
B0300043700000;IDENTIDADE;GUSTAVO BRANDAU E LAÍS CHAFFE;Não Informado
B0300043800000;HISTÓRIA NATURAL;TOMÁS CREUS;Não Informado
B0300043900000;24 HORAS;FREDERICO PINTO E GABRIEL DAUDT;Não Informado
